match_id,season,date,toss_winner,toss_decision,venue,city,match_won_by,player_of_match,team1,team2
335982,2007/08,2008-04-18,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,BB McCullum,Kolkata Knight Riders,Royal Challengers Bengaluru
335983,2007/08,2008-04-19,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,MEK Hussey,Chennai Super Kings,Punjab Kings
335984,2007/08,2008-04-19,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi,Delhi Capitals,MF Maharoof,Delhi Capitals,Rajasthan Royals
335985,2007/08,2008-04-20,Mumbai Indians,bat,Wankhede Stadium,Mumbai,Royal Challengers Bengaluru,MV Boucher,Mumbai Indians,Royal Challengers Bengaluru
335986,2007/08,2008-04-20,Deccan Chargers,bat,Eden Gardens,Kolkata,Kolkata Knight Riders,DJ Hussey,Deccan Chargers,Kolkata Knight Riders
335987,2007/08,2008-04-21,Punjab Kings,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,SR Watson,Punjab Kings,Rajasthan Royals
335988,2007/08,2008-04-22,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Delhi Capitals,V Sehwag,Deccan Chargers,Delhi Capitals
335989,2007/08,2008-04-23,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,ML Hayden,Chennai Super Kings,Mumbai Indians
335990,2007/08,2008-04-24,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,YK Pathan,Deccan Chargers,Rajasthan Royals
335991,2007/08,2008-04-25,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,KC Sangakkara,Punjab Kings,Mumbai Indians
335992,2007/08,2008-04-26,Rajasthan Royals,field,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,SR Watson,Rajasthan Royals,Royal Challengers Bengaluru
335993,2007/08,2008-04-26,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,JDP Oram,Chennai Super Kings,Kolkata Knight Riders
335994,2007/08,2008-04-27,Deccan Chargers,field,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,AC Gilchrist,Deccan Chargers,Mumbai Indians
335995,2007/08,2008-04-27,Delhi Capitals,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,SM Katich,Delhi Capitals,Punjab Kings
335996,2007/08,2008-04-28,Chennai Super Kings,bat,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,MS Dhoni,Chennai Super Kings,Royal Challengers Bengaluru
335997,2007/08,2008-04-29,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Mumbai Indians,ST Jayasuriya,Kolkata Knight Riders,Mumbai Indians
335998,2007/08,2008-04-30,Royal Challengers Bengaluru,field,Feroz Shah Kotla,Delhi,Delhi Capitals,GD McGrath,Delhi Capitals,Royal Challengers Bengaluru
